var1,var2,var3,T,E
0.59517,1.143472,1.5710790000000001,14.785479,1
0.209325,0.184677,0.35698,7.336734,1
0.693919,0.071893,0.55796,5.271527,1
0.443804,1.3646459999999998,0.374221,11.684168,1
1.613324,0.125566,1.921325,7.637764,1
0.065636,0.098375,0.237896,12.678268,1
0.386294,1.6630919999999998,0.7903140000000001,6.601660000000001,1
0.946688,1.345394,3.209113,11.369137,1
0.11374000000000001,0.40986000000000006,0.064934,14.680468,1
0.7777930000000001,0.33499,0.411055,10.585059,1
0.04428,0.305158,0.17648,19.370936999999998,1
1.03545,3.304733,0.997323,5.558555999999999,1
0.22919499999999998,0.5813550000000001,0.48479399999999995,11.292129,1
0.055970000000000006,2.6741349999999997,0.355279,9.919992,0
1.236583,1.796598,0.179952,9.884988,1
1.162835,0.46475900000000003,2.028854,6.265626999999999,1
0.14943599999999999,2.949291,0.277801,13.812381,1
0.399475,0.822413,0.673405,6.433643,1
0.762121,0.050407,1.2851629999999998,6.979698,1
1.239718,1.869215,0.020202,7.742774000000001,1
0.019221000000000002,1.435543,0.255689,4.70447,1
0.090253,0.211037,0.372809,11.236124,1
0.20584899999999998,0.048722,0.00253,6.664666,1
0.088185,1.319679,0.201675,10.718072,1
4.629747,0.36352199999999996,1.08207,11.593159,1
1.6028360000000001,1.217881,0.350837,8.463846,1
0.014804,0.684737,0.493267,5.432543,1
0.08402000000000001,1.432093,0.456541,10.277028,1
2.260223,1.2389299999999999,5.541837999999999,7.217722,1
0.6219680000000001,0.6844279999999999,0.135933,13.217322,1
0.013219999999999999,3.280555,1.193551,8.029803,1
0.070651,1.430517,0.0052049999999999996,9.807981,1
0.20598000000000002,0.29064,0.096565,2.632263,1
1.389882,0.14313299999999998,0.821257,6.160616,1
0.104143,2.072924,0.449696,6.265626999999999,1
0.42848100000000006,0.06573899999999999,3.00755,4.606461,0
1.785151,1.572282,0.475059,11.124112,1
0.22889299999999999,0.429025,0.60805,6.083608,1
0.640837,0.311084,3.165658,9.219922,1
1.450683,0.8470219999999999,2.5211770000000002,7.119712,0
0.469459,0.318871,0.164498,13.056306,1
0.36617,0.23499099999999998,0.678709,4.949495,1
1.4325700000000001,2.668335,0.558046,4.858486,1
2.696463,0.244077,1.3151110000000001,8.505851,1
0.152624,0.37950100000000003,0.330164,7.035703999999999,1
0.27739899999999995,0.871603,1.555185,10.837083999999999,1
0.353633,0.294236,0.928573,9.919992,1
0.6209560000000001,0.021884,3.2057599999999997,5.292529,1
0.0007570000000000001,1.216615,0.8610690000000001,20.981098,1
0.497674,2.744032,0.47358900000000004,5.810581,1
1.213709,0.072756,0.09842000000000001,11.292129,1
0.426255,2.550392,0.16762,8.19782,1
0.008408,1.132205,1.234917,7.469747,1
1.207833,0.13335,0.528231,10.669067,1
0.036975,0.040631,0.2664,10.543054,1
0.789439,0.669067,1.332697,6.2866290000000005,1
1.482055,0.627205,0.738271,9.079908,1
1.028671,0.21520999999999998,0.457692,14.183418,1
0.521986,2.282683,0.31597600000000003,21.940194,1
0.26262199999999997,0.345999,0.9210969999999999,8.883888,1
0.360319,1.001364,0.237533,9.982998,1
0.362587,0.110046,2.486691,9.555956,1
1.793598,0.310001,0.26306599999999997,8.659866000000001,1
0.419275,0.11430799999999999,1.124784,5.642564,1
1.4702469999999999,0.289054,0.331833,10.9981,1
0.27476,0.523508,2.139204,8.050805,1
0.119805,0.7337739999999999,0.21205700000000002,11.250125,1
0.369294,0.609847,0.89402,10.214021,0
1.01825,2.119666,0.716002,12.335234,1
0.607065,2.3501119999999998,0.031389999999999994,15.723572,1
4.169830999999999,0.316285,0.16935,11.831183,0
1.483383,2.242744,0.26543,7.364736,1
0.32359699999999997,0.165159,0.97204,12.517252000000001,1
1.82716,0.32779400000000003,0.9415389999999999,8.512851,1
0.104104,0.9233020000000001,1.22007,12.79728,1
0.392766,0.42279399999999995,3.4826080000000004,8.540854,1
2.579629,0.109011,2.2800279999999997,3.5633559999999997,1
0.775092,0.974519,2.2236990000000003,9.576958,1
0.5075930000000001,0.917278,0.103131,9.646965,1
0.13843699999999998,2.474084,1.6350049999999998,11.789178999999999,1
1.120586,1.480593,0.6382439999999999,4.648465,0
0.001842,0.6014520000000001,0.40551,14.162416,1
0.9969790000000001,0.44859,0.782013,7.490749,1
1.0672629999999999,0.304582,0.795276,10.739074,1
1.123429,1.4093149999999999,0.090895,8.239824,1
0.139158,3.203523,0.28734899999999997,7.630763000000001,1
1.276529,1.039313,1.217827,7.819782000000001,1
0.175824,1.371635,1.7854880000000002,12.419242,1
0.24130100000000002,4.048806,0.423415,10.564055999999999,1
1.8644439999999998,0.821839,0.426364,6.293629,1
0.34029499999999996,0.727143,0.341437,12.405241,1
5.130831,0.074513,0.8015260000000001,10.79508,1
